id,device_name,lat,long,pm_25,pm_10,no2,co,co2,ch4,temp,rh,data_created_time
265599,TARA041,28.563101,77.210884,26.5,29.0,29.0,0.93,,,28.2,66.0,2024-06-28 05:27:00+00:00
267361,TARA044,28.440132,77.035484,36.5,49.4,57.7,0.84,,,29.8,74.0,2024-06-28 08:37:00+00:00
240904,TARA023,NA,NA,72.9,82.8,20.1,2.02,,,24.5,65.0,2024-06-24 21:44:00+00:00
244433,TARA023,NA,NA,43.7,46.2,28.8,0.84,,,23.9,68.0,2024-06-25 05:57:00+00:00
249725,TARA014,28.563313,77.211098,420.7,568.5,73.0,,,,28.9,70.0,2024-06-26 09:05:00+00:00
251489,TARA020,28.465412,77.053932,72.6,112.3,48.4,1.17,,,38.5,46.0,2024-06-26 17:24:00+00:00
255017,TARA020,28.465286,77.053902,88.2,119.3,30.3,0.75,,,32.7,66.0,2024-06-27 06:49:00+00:00
256781,TARA044,28.424326,77.089310,46.7,62.4,25.0,1.15,,,35.2,59.0,2024-06-27 12:29:00+00:00
258545,TARA044,28.440174,77.035522,26.4,26.4,15.3,0.17,,,37.2,48.0,2024-06-27 16:00:00+00:00
260309,TARA054,28.394417,77.030304,60.4,62.9,55.9,0.76,,,36.5,51.0,2024-06-27 19:35:00+00:00
263837,TARA041,NA,NA,44.7,49.6,49.0,1.07,,,28.3,55.0,2024-06-28 02:15:00+00:00
265600,TARA059,NA,NA,26.4,28.8,1958.4,,,,29.7,58.0,2024-06-28 05:12:00+00:00
267362,TARA020,28.465315,77.053955,29.8,40.3,50.0,0.85,,,28.5,80.0,2024-06-28 08:37:00+00:00
233849,TARA041,NA,NA,94.0,106.3,,1.58,,,34.2,61.0,2024-06-23 21:10:00+00:00
237377,TARA041,28.563025,77.211014,49.1,49.1,30.9,0.92,,,24.9,74.0,2024-06-24 08:03:00+00:00
242670,TARA036,NA,NA,61.6,77.3,55.0,1.35,,,25.0,63.0,2024-06-25 01:56:00+00:00
244434,TARA036,NA,NA,40.2,45.2,29.0,0.86,,,24.8,66.0,2024-06-25 05:57:00+00:00
247962,TARA054,NA,NA,27.1,37.9,55.0,1.59,,,28.1,60.0,2024-06-26 01:12:00+00:00
255018,TARA033,28.563175,77.211212,42.1,57.0,47.6,0.17,,,29.2,55.0,2024-06-27 06:49:00+00:00
256782,TARA023,28.424341,77.089378,32.8,44.3,31.0,1.13,,,34.4,59.0,2024-06-27 12:29:00+00:00
258546,TARA023,28.425545,77.020576,30.1,54.0,8.9,0.22,,,40.3,40.0,2024-06-27 16:00:00+00:00
260310,TARA044,28.440153,77.035553,39.6,63.5,81.1,0.75,,,35.6,53.0,2024-06-27 19:34:00+00:00
267363,TARA014,28.430056,77.049820,32.1,43.4,26.0,,519.0,,28.9,79.0,2024-06-28 08:38:00+00:00
233850,TARA020,NA,NA,101.2,135.9,,1.38,,,33.7,60.0,2024-06-23 21:09:00+00:00
240906,TARA014,NA,NA,60.2,62.7,48.5,,805.0,,25.5,63.0,2024-06-24 21:45:00+00:00
249727,TARA071,NA,NA,384.6,519.7,26.0,1.02,,,26.8,75.0,2024-06-26 09:05:00+00:00
253255,TARA020,28.465330,77.053947,103.8,142.5,39.2,0.97,,,33.2,60.0,2024-06-27 00:42:00+00:00
262075,TARA044,28.440353,77.035477,74.4,98.4,43.2,1.38,,,34.5,60.0,2024-06-27 22:58:00+00:00
263839,TARA071,28.424295,77.089462,74.3,97.4,49.0,1.51,,,36.3,56.0,2024-06-28 02:15:00+00:00
240907,TARA008,NA,NA,69.5,82.7,44.0,,852.0,,24.4,66.0,2024-06-24 21:44:00+00:00
242672,TARA023,NA,NA,58.3,63.2,54.0,0.94,,,24.0,65.0,2024-06-25 01:56:00+00:00
253256,TARA033,28.562998,77.210976,45.7,48.1,4.4,0.06,,,29.5,54.0,2024-06-27 00:42:00+00:00
256784,TARA033,28.424383,77.089378,27.3,27.3,,0.33,,,35.0,61.0,2024-06-27 12:29:00+00:00
258548,TARA020,28.465347,77.053909,33.4,70.5,19.7,0.19,,,39.3,41.0,2024-06-27 16:00:00+00:00
260312,TARA023,28.396698,77.072182,47.6,50.1,43.2,0.83,,,37.9,30.0,2024-06-27 19:34:00+00:00
263840,TARA011,28.425812,77.020592,74.4,100.6,30.0,,551.0,,34.4,63.0,2024-06-28 02:14:00+00:00
265603,TARA011,28.425766,77.020416,25.9,35.0,40.0,,545.0,,31.7,72.0,2024-06-28 05:26:00+00:00
235616,TARA041,28.563025,77.211014,29.0,31.4,49.3,0.94,,,25.1,72.0,2024-06-24 02:07:00+00:00
242673,TARA014,0.150000,0.150000,47.6,50.1,19.8,,811.0,,25.1,62.0,2024-06-25 01:57:00+00:00
247965,TARA054,NA,NA,27.1,37.9,55.0,1.6,,,28.1,61.0,2024-06-26 01:13:00+00:00
251493,TARA020,28.465412,77.053932,72.6,112.3,48.6,1.1,,,38.4,46.0,2024-06-26 17:25:00+00:00
258549,TARA033,28.424383,77.089378,47.5,71.4,16.5,0.1,,,42.5,40.0,2024-06-27 16:00:00+00:00
260313,TARA020,28.465347,77.053909,47.2,78.5,97.7,0.77,,,34.8,54.0,2024-06-27 19:34:00+00:00
262077,TARA020,28.465321,77.053947,82.2,113.5,43.0,1.39,,,33.8,60.0,2024-06-27 22:58:00+00:00
232089,TARA020,NA,NA,652.9,721.1,30.8,0.23,,,26.1,70.0,2024-06-23 16:36:00+00:00
235617,TARA020,NA,NA,54.7,62.1,49.6,0.92,,,25.6,67.0,2024-06-24 02:06:00+00:00
242674,TARA020,NA,NA,45.7,50.6,53.2,0.93,,,24.4,64.0,2024-06-25 01:56:00+00:00
244438,TARA008,NA,NA,40.3,42.7,39.9,,833.0,,23.9,69.0,2024-06-25 05:58:00+00:00
249730,TARA023,NA,NA,420.7,568.6,26.0,1.16,,,27.2,77.0,2024-06-26 09:06:00+00:00
253258,TARA008,28.562981,77.211189,45.3,47.7,33.0,,,,27.2,62.0,2024-06-27 00:42:00+00:00
256786,TARA008,28.424400,77.089355,,,13.0,,636.0,,36.5,59.0,2024-06-27 12:29:00+00:00
265605,TARA054,28.394308,77.030510,33.2,44.9,0.0,0.78,,,30.9,75.0,2024-06-28 05:28:00+00:00
267367,TARA054,28.394308,77.030487,33.2,44.9,0.0,0.84,,,29.1,79.0,2024-06-28 08:39:00+00:00
237382,TARA041,28.563025,77.211014,49.1,49.1,33.9,0.92,,,25.0,74.0,2024-06-24 08:04:00+00:00
240910,TARA020,NA,NA,54.4,54.4,4.2,2.07,,,25.3,62.0,2024-06-24 21:45:00+00:00
244439,TARA014,0.150000,0.150000,33.1,35.5,11.8,,778.0,,24.8,66.0,2024-06-25 05:59:00+00:00
249731,TARA023,28.563038,77.211067,472.6,638.7,25.0,1.19,,,27.4,75.0,2024-06-26 09:04:00+00:00
255023,TARA020,28.465286,77.053902,88.2,119.3,31.1,0.75,,,32.7,66.0,2024-06-27 06:50:00+00:00
262079,TARA071,28.424303,77.089485,41.5,41.5,42.0,1.75,,,36.8,50.0,2024-06-27 22:59:00+00:00
232091,TARA041,NA,NA,446.6,603.5,31.0,0.28,,,25.9,74.0,2024-06-23 16:37:00+00:00
244440,TARA020,28.562857,77.211105,36.8,36.8,29.0,0.82,,,24.4,68.0,2024-06-25 05:58:00+00:00
249732,TARA071,NA,NA,384.6,519.7,26.0,1.03,,,27.0,78.0,2024-06-26 09:06:00+00:00
251496,TARA020,28.465412,77.053932,72.6,112.3,48.1,1.08,,,38.4,46.0,2024-06-26 17:26:00+00:00
255024,TARA033,28.563175,77.211212,42.1,57.0,47.8,0.17,,,29.2,56.0,2024-06-27 06:50:00+00:00
256788,TARA023,28.424341,77.089378,32.8,44.3,31.0,1.13,,,34.5,58.0,2024-06-27 12:29:00+00:00
263844,TARA054,28.394295,77.030457,85.3,115.3,49.0,0.86,,,33.5,64.0,2024-06-28 02:16:00+00:00
265607,TARA044,28.440182,77.035339,36.5,49.4,28.2,0.77,,,30.6,75.0,2024-06-28 05:26:00+00:00
240912,TARA023,NA,NA,75.1,77.5,20.1,1.97,,,24.5,64.0,2024-06-24 21:45:00+00:00
242677,TARA036,NA,NA,82.9,101.0,55.0,1.35,,,25.0,64.0,2024-06-25 01:57:00+00:00
247969,TARA054,NA,NA,27.1,37.9,55.0,1.6,,,28.1,60.0,2024-06-26 01:14:00+00:00
260317,TARA054,28.394417,77.030304,60.4,62.9,52.9,0.76,,,36.5,51.0,2024-06-27 19:36:00+00:00
262081,TARA054,28.394283,77.030457,60.9,68.2,42.4,1.65,,,34.4,60.0,2024-06-27 23:00:00+00:00
263845,TARA044,28.440184,77.035461,87.2,117.8,50.2,0.86,,,33.9,65.0,2024-06-28 02:15:00+00:00
265608,TARA020,28.465307,77.053963,37.4,50.5,29.0,0.77,,,29.2,81.0,2024-06-28 05:27:00+00:00
267370,TARA044,28.440132,77.035484,36.5,49.4,57.7,0.84,,,29.8,74.0,2024-06-28 08:38:00+00:00
233857,TARA020,NA,NA,101.2,135.9,,1.32,,,33.7,60.0,2024-06-23 21:10:00+00:00
240913,TARA011,NA,NA,71.5,82.2,65.1,,861.0,,24.7,66.0,2024-06-24 21:45:00+00:00
244442,TARA023,NA,NA,38.5,41.0,28.7,0.85,,,23.9,69.0,2024-06-25 05:58:00+00:00
249734,TARA023,NA,NA,420.7,568.6,26.0,1.16,,,27.4,79.0,2024-06-26 09:07:00+00:00
251498,TARA023,28.510630,77.168076,33.8,36.2,38.7,0.41,,,38.4,37.0,2024-06-26 17:26:00+00:00
253262,TARA020,28.465328,77.053947,103.8,142.5,40.8,0.97,,,33.3,60.0,2024-06-27 00:43:00+00:00
256790,TARA044,28.424326,77.089310,46.7,62.4,25.0,1.14,,,35.3,58.0,2024-06-27 12:30:00+00:00
258554,TARA023,28.425545,77.020576,30.1,54.0,7.4,0.22,,,40.3,40.0,2024-06-27 16:01:00+00:00
263846,TARA020,28.465342,77.053864,81.1,109.6,50.0,0.91,,,33.4,65.0,2024-06-28 02:15:00+00:00
267371,TARA020,28.465315,77.053955,29.8,40.3,50.0,0.86,,,28.5,80.0,2024-06-28 08:38:00+00:00
233858,TARA041,NA,NA,92.6,112.3,,1.52,,,34.2,61.0,2024-06-23 21:11:00+00:00
240914,TARA014,NA,NA,54.4,72.5,48.5,,811.0,,25.5,62.0,2024-06-24 21:46:00+00:00
